cod_facultad,cod_escuela,cod_semestre,cod_alumno,cod_plan,cod_asignatura,asignatura,num_rep
1,1,20201,02010034,2018  ,CSO201  ,LENGUAJE ,1
1,1,20201,02010034,2018  ,CSO203  ,"MANIFESTACIONES CULTURALES, ARTE Y DEPORTES ",1
1,1,20201,04010039,2018  ,MO001   ,ANATOMÍA HUMANA,1
1,1,20201,04010039,2018  ,MO002   ,EMBRIOLOGÍA,1
1,1,20201,05010012,2015  ,M15023M ,PATOLOGÍA GENERAL I,1
1,1,20201,05010012,2015  ,M15024M ,PARASITOLOGÍA MÉDICA BÁSICA,1
1,1,20201,05010012,2015  ,M15027M ,PROYECTO DE TESIS I,1
1,1,20201,05010012,2015  ,M15030M ,INMUNOLOGÍA GENERAL,2
1,1,20201,05010023,2015  ,M15E04  ,DEPORTE,1
1,1,20201,05010023,2015  ,M15E05  ,DANZA,1
1,1,20201,05010023,2015  ,M15005M ,HISTORIA DE LA MEDICINA,2
1,1,20201,05010023,2015  ,M15027M ,PROYECTO DE TESIS I,1
1,1,20201,05010023,2015  ,M15034M ,ATENCIÓN DE LA SALUD NIVEL I y II  (II),1
1,1,20201,05010178,2004  ,MH0464  ,PEDIATRÍA,1
1,1,20201,05010188,2015  ,M15011M ,ATENCIÓN DE LA SALUD NIVEL I y II  (I),2
1,1,20201,06010037,2015  ,M15E04  ,DEPORTE,1
1,1,20201,06010037,2015  ,M15E05  ,DANZA,1
1,1,20201,06010037,2015  ,M15027M ,PROYECTO DE TESIS I,1
1,1,20201,06010037,2015  ,M15034M ,ATENCIÓN DE LA SALUD NIVEL I y II  (II),1
1,1,20201,09010228,2015  ,M15E02  ,CULTURA ,1
1,1,20201,09010228,2015  ,M15E03  ,ARTE,1
1,1,20201,09010228,2015  ,M15E04  ,DEPORTE,1
1,1,20201,09010228,2015  ,M15E05  ,DANZA,1
1,1,20201,09010228,2015  ,M15027M ,PROYECTO DE TESIS I,2
1,1,20201,09010228,2015  ,M15030M ,INMUNOLOGÍA GENERAL,2
1,1,20201,09010228,2015  ,M15034M ,ATENCIÓN DE LA SALUD NIVEL I y II  (II),1
1,1,20201,10010040,2018  ,MO012   ,PATOLOGÍA GENERAL,1
1,1,20201,10010040,2018  ,MO014   ,"MEDICINA, FAMILIA Y COMUNIDAD",1
1,1,20201,10010040,2018  ,MO015   ,FISIOPATOLOGÍA,1
1,1,20201,11010253,2018  ,CSO202  ,"IDENTIDAD SOCIAL, CULTURA GENERAL Y DISCIPLINAS PARTICIPATIVAS ",1
1,1,20201,11010254,2018  ,MO015   ,FISIOPATOLOGÍA,3
1,1,20201,12010203,2018  ,CSE003  ,INGLES APLICADO A LA CIENCIAS DE LA SALUD I,1
